0,0,0,0,0,0,0,0,0,0,0,0
10,0.068080221,0.012230791,-0.572218358,0,0,0,0,0,0,0,0
10.001,0.067513008,0.012235583,-0.551387127,-0.00691567,0.0000573,-0.464579746,-0.006680129,0.0000553,-0.508639368,0.000269,1.48E-22
10.002,0.067519338,0.01223553,-0.551822316,-0.006821782,0.0000565,-0.464382442,-0.006588621,0.0000545,-0.507997018,0.000265638,1.47E-22
10.003,0.067525668,0.012235476,-0.552257504,-0.006727895,0.0000557,-0.464185139,-0.006497112,0.0000537,-0.507354667,0.000261918,1.46E-22
10.004,0.067531999,0.012235423,-0.552692693,-0.006634007,0.0000549,-0.463987835,-0.006405604,0.000053,-0.506712317,0.000258197,1.46E-22
10.005,0.067538329,0.012235369,-0.553127882,-0.00654012,0.0000541,-0.463790531,-0.006314096,0.0000522,-0.506069967,0.000254477,1.45E-22
10.006,0.067544659,0.012235316,-0.553563071,-0.006446232,0.0000534,-0.463593228,-0.006222587,0.0000515,-0.505427617,0.000250756,1.44E-22
10.007,0.067550989,0.012235262,-0.553998259,-0.006352344,0.0000526,-0.463395924,-0.006131079,0.0000507,-0.504785266,0.000247036,1.43E-22
10.008,0.06755732,0.012235209,-0.554433448,-0.006258457,0.0000518,-0.463198621,-0.00603957,0.0000499,-0.504142916,0.000243315,1.43E-22
10.009,0.06756365,0.012235155,-0.554868637,-0.006164569,0.000051,-0.463001317,-0.005948062,0.0000492,-0.503500566,0.000239594,1.42E-22
10.01,0.06756998,0.012235102,-0.555303826,-0.006070682,0.0000502,-0.462804013,-0.005856554,0.0000484,-0.502858215,0.000235874,1.41E-22
10.011,0.06757631,0.012235048,-0.555739014,-0.005976794,0.0000494,-0.46260671,-0.005765045,0.0000476,-0.502215865,0.000232153,1.4E-22
10.012,0.067582641,0.012234995,-0.556174203,-0.005882907,0.0000487,-0.462409406,-0.005673537,0.0000469,-0.501573515,0.000228433,1.39E-22
10.013,0.067588971,0.012234941,-0.556609392,-0.005789019,0.0000479,-0.462212103,-0.005582028,0.0000461,-0.500931165,0.000224712,1.39E-22
10.014,0.067595301,0.012234888,-0.55704458,-0.005695131,0.0000471,-0.462014799,-0.00549052,0.0000454,-0.500288814,0.000220992,1.38E-22
10.015,0.067601631,0.012234834,-0.557479769,-0.005601244,0.0000463,-0.461817495,-0.005399012,0.0000446,-0.499646464,0.000217271,1.37E-22
10.016,0.067607961,0.012234781,-0.557914958,-0.005507356,0.0000455,-0.461620192,-0.005307503,0.0000438,-0.499004114,0.000213551,1.36E-22
10.017,0.067614292,0.012234727,-0.558350147,-0.005413469,0.0000447,-0.461422888,-0.005215995,0.0000431,-0.498361763,0.00020983,1.36E-22
10.018,0.067620622,0.012234674,-0.558785335,-0.005319581,0.000044,-0.461225585,-0.005124487,0.0000423,-0.497719413,0.00020611,1.35E-22
10.019,0.067626952,0.01223462,-0.559220524,-0.005225693,0.0000432,-0.461028281,-0.005032978,0.0000415,-0.497077063,0.000202389,1.34E-22
10.02,0.067633282,0.012234567,-0.559655713,-0.005131806,0.0000424,-0.460830977,-0.00494147,0.0000408,-0.496434712,0.000198668,1.33E-22
10.021,0.067639613,0.012234513,-0.560090902,-0.005037918,0.0000416,-0.460633674,-0.004849961,0.00004,-0.495792362,0.000194948,1.32E-22
10.022,0.067645943,0.01223446,-0.56052609,-0.004944031,0.0000408,-0.46043637,-0.004758453,0.0000393,-0.495150012,0.000191227,1.32E-22
10.023,0.067652273,0.012234406,-0.560961279,-0.004850143,0.00004,-0.460239067,-0.004666945,0.0000385,-0.494507662,0.000187507,1.31E-22
10.024,0.067658603,0.012234353,-0.561396468,-0.004756256,0.0000393,-0.460041763,-0.004575436,0.0000377,-0.493865311,0.000183786,1.3E-22
10.025,0.067664934,0.012234299,-0.561831657,-0.004662368,0.0000385,-0.459844459,-0.004483928,0.000037,-0.493222961,0.000180066,1.29E-22
10.026,0.067671264,0.012234246,-0.562266845,-0.00456848,0.0000377,-0.459647156,-0.00439242,0.0000362,-0.492580611,0.000176345,1.28E-22
10.027,0.067677594,0.012234192,-0.562702034,-0.004474593,0.0000369,-0.459449852,-0.004300911,0.0000354,-0.49193826,0.000172625,1.28E-22
10.028,0.067683924,0.012234139,-0.563137223,-0.004380705,0.0000361,-0.459252549,-0.004209403,0.0000347,-0.49129591,0.000168904,1.27E-22
10.029,0.067690254,0.012234085,-0.563572411,-0.004286818,0.0000354,-0.459055245,-0.004117894,0.0000339,-0.49065356,0.000165184,1.26E-22
10.03,0.067696585,0.012234032,-0.5640076,-0.00419293,0.0000346,-0.458857941,-0.004026386,0.0000332,-0.49001121,0.000161463,1.25E-22
10.031,0.067702915,0.012233978,-0.564442789,-0.004099042,0.0000338,-0.458660638,-0.003934878,0.0000324,-0.489368859,0.000157742,1.25E-22
10.032,0.067709245,0.012233925,-0.564877978,-0.004005155,0.000033,-0.458463334,-0.003843369,0.0000316,-0.488726509,0.000154022,1.24E-22
10.033,0.067715575,0.012233871,-0.565313166,-0.003911267,0.0000322,-0.45826603,-0.003751861,0.0000309,-0.488084159,0.000150301,1.23E-22
10.034,0.067721906,0.012233818,-0.565748355,-0.00381738,0.0000314,-0.458068727,-0.003660352,0.0000301,-0.487441808,0.000146581,1.22E-22
10.035,0.067728236,0.012233764,-0.566183544,-0.003723492,0.0000307,-0.457871423,-0.003568844,0.0000293,-0.486799458,0.00014286,1.21E-22
10.036,0.067734566,0.012233711,-0.566618733,-0.003629605,0.0000299,-0.45767412,-0.003477336,0.0000286,-0.486157108,0.00013914,1.21E-22
10.037,0.067740896,0.012233657,-0.567053921,-0.003535717,0.0000291,-0.457476816,-0.003385827,0.0000278,-0.485514757,0.000135419,1.2E-22
10.038,0.067747227,0.012233604,-0.56748911,-0.003441829,0.0000283,-0.457279512,-0.003294319,0.0000271,-0.484872407,0.000131699,1.19E-22
