0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.099020271,-0.010887687,-1.208743235,-1.208743235,0,0,0,0,0,0,0,0
10.1,0.099072397,-0.010892275,-1.209592703,-1.209592703,0.002085028,-0.000183583,-0.01698673,0.002085028,-0.000183583,-0.01698673,-0.0002794,3.78E-23
10.2,0.099788401,-0.010954621,-1.211630483,-1.211630483,0.014129936,-0.001215213,-0.023745722,0.013921433,-0.001196855,-0.022047049,-0.001003683,-9.97E-22
10.3,0.102243047,-0.011159738,-1.214352128,-1.214352128,0.036502944,-0.002980016,-0.03065226,0.034902298,-0.002841972,-0.026748883,-0.001873897,-7.19E-23
10.4,0.107210044,-0.01154797,-1.212662037,-1.212662037,0.063914646,-0.004724757,0.064487248,0.05882377,-0.004302516,0.071065514,-0.001428586,0.005764261
10.5,0.115837883,-0.012103142,-1.218680216,-1.218680216,0.10968236,-0.006269407,-0.184812368,0.098709107,-0.005416915,-0.185340653,0.001022627,-3.53E-22
10.6,0.128523381,-0.012778463,-1.230278131,-1.230278131,0.144509916,-0.007255986,-0.047126003,0.123665752,-0.005861802,-0.029120223,0.004438148,0.001619702
10.7,0.145527378,-0.013575729,-1.244123043,-1.244123043,0.196037316,-0.008658529,-0.229751598,0.162826577,-0.006678165,-0.208833796,0.008750938,-2.14E-21
10.8,0.166718749,-0.01447479,-1.252650623,-1.252650623,0.227941636,-0.00929224,0.059206954,0.178448239,-0.006644059,0.101008136,0.013769848,0.000149039
10.9,0.192483685,-0.015454169,-1.261040433,-1.261040433,0.28741357,-0.010283832,-0.227000526,0.220075349,-0.006971245,-0.195300157,0.018952745,5.5E-23
11,0.222975218,-0.016510503,-1.272092783,-1.272092783,0.322338924,-0.010836537,0.005949874,0.232993169,-0.006826826,0.057180258,0.023005118,0.0000179
11.1,0.257966502,-0.017635773,-1.282460582,-1.282460582,0.377203814,-0.011664858,-0.213318774,0.264558742,-0.006972464,-0.167806416,0.026559283,3.11E-20
11.2,0.29792852,-0.018837627,-1.30544387,-1.30544387,0.421655183,-0.012373966,-0.246363691,0.282554237,-0.006984326,-0.184070691,0.030319111,2.71E-28
11.3,0.341959341,-0.020106539,-1.325689903,-1.325689903,0.458554095,-0.013011966,-0.158573776,0.291197724,-0.006923894,-0.077873707,0.032715077,-3.08E-21
11.4,0.389726709,-0.021445793,-1.341630357,-1.341630357,0.496287404,-0.013776361,-0.160254723,0.299811261,-0.006995899,-0.071767284,0.033541468,0.65784198
11.5,0.441096293,-0.022858041,-1.357363891,-1.357363891,0.530549798,-0.014422077,-0.154435467,0.304092529,-0.006942025,-0.058771299,0.033080386,0.85331785
11.6,0.495669002,-0.024315183,-1.370879172,-1.370879172,0.560335507,-0.014640105,-0.115888154,0.303468986,-0.006465851,-0.014346856,0.0318598,1.094631415
11.7,0.553070274,-0.025768205,-1.3813454,-1.3813454,0.58709148,-0.014313551,-0.093453059,0.29987806,-0.005492711,0.009522924,0.030278263,1.174660308
11.8,0.613009821,-0.02715055,-1.391331087,-1.391331087,0.611067352,-0.013179007,-0.106275751,0.293866126,-0.003808896,-0.00425206,0.028686139,1.207253318
11.9,0.675127738,-0.02837273,-1.401206084,-1.401206084,0.630677706,-0.011094464,-0.091236277,0.284089867,-0.001343464,0.01121262,0.027811289,1.075524989
12,0.739010392,-0.029337817,-1.408790555,-1.408790555,0.646387109,-0.008038476,-0.060462334,0.271390283,0.001846871,0.040865301,0.028425247,1.004962905
12.1,0.804275612,-0.029950986,-1.412252645,-1.412252645,0.658365433,-0.004064288,-0.00878589,0.256229579,0.005636371,0.088455215,0.030927314,1.02311034
12.2,0.870598765,-0.030108155,-1.412831431,-1.412831431,0.66755109,0.001076485,-0.002794163,0.239792278,0.010213508,0.085601421,0.035145621,0.984608266
12.3,0.937706814,-0.029676905,-1.416874248,-1.416874248,0.674045728,0.007790265,-0.078064102,0.222307688,0.015905937,0.001771339,0.041174271,0.981883525
