x,y,z
4.825300515485470010e-02,1.310143097243830074e-02,-2.999999999999999889e-01
4.825300515485470010e-02,1.310143097243830074e-02,-2.999999999999999889e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.009999999999999898e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.019999999999999907e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.029999999999999916e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.039999999999999925e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.049999999999999933e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.059999999999999942e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.069999999999999951e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.079999999999999960e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.089999999999999969e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.099999999999999978e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.109999999999999987e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.119999999999999996e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.130000000000000004e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.140000000000000013e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.150000000000000022e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.160000000000000031e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.170000000000000040e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.180000000000000049e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.190000000000000058e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.200000000000000067e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.210000000000000075e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.220000000000000084e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.230000000000000093e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.240000000000000102e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.249999999999999556e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.260000000000000120e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.269999999999999574e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.279999999999999583e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.289999999999999591e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.299999999999999600e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.309999999999999609e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.319999999999999618e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.329999999999999627e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.339999999999999636e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.349999999999999645e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.359999999999999654e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.369999999999999662e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.379999999999999671e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.389999999999999680e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.399999999999999689e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.409999999999999698e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.419999999999999707e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.429999999999999716e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.439999999999999725e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.449999999999999734e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.459999999999999742e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.469999999999999751e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.479999999999999760e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.489999999999999769e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.499999999999999778e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.509999999999999787e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.519999999999999796e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.529999999999999805e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.539999999999999813e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.549999999999999822e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.559999999999999831e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.569999999999999840e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.579999999999999849e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.589999999999999858e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.599999999999999867e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.609999999999999876e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.619999999999999885e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.629999999999999893e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.639999999999999902e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.649999999999999911e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.659999999999999920e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.669999999999999929e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.679999999999999938e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.689999999999999947e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.699999999999999956e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.709999999999999964e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.719999999999999973e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.729999999999999982e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.739999999999999991e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.750000000000000000e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.760000000000000009e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.770000000000000018e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.780000000000000027e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.790000000000000036e-01
4.825300515485470010e-02,1.310143097243830074e-02,-3.800000000000000044e-01
