x,y,z,yaw
0.00435468655499679,0.0457100976847,0.6,0
0.00435468655499679,0.0457100976847,0.65,0
0.00435468655499679,0.0457100976847,0.71,0
0.00435468655499679,0.0457100976847,0.78,0
0.00435468655499679,0.0457100976847,0.86,0
0.00435468655499679,0.0457100976847,0.97,0
0.00435468655499679,0.0457100976847,1.07,0
0.00435468655499679,0.0457100976847,1.17,0
0.00435468655499679,0.0457100976847,1.2,0
0.00870937310999358,0.0914201953693901,1.2,0
0.0130640596649904,0.13713029305409,1.2,0
0.0174187462199872,0.18284039073879,1.2,0
0.0217734327749839,0.22855048842348,1.2,0
0.0261281193299807,0.27426058610818,1.2,0
0.0304828058849775,0.31997068379288,1.2,0
0.0348374924399743,0.36568078147757,1.2,0
0.0391921789949711,0.41139087916227,1.2,0
0.0376534931780762,0.4818600432794,1.2,0
0.0337012838155215,0.52699503106877,1.2,0
0.0297490744529668,0.57213001885814,1.2,0
0.0257968650904121,0.61726500664751,1.2,0
0.0271246995792087,0.700196868192559,1.2,0
0.0318621708339711,0.744190024906804,1.2,0
0.0353940959779279,0.783847057122188,1.2,0
0.03807982963153,0.815646176783906,1.2,0
0.037101018108913,0.878393267899835,1.2,0
0.0339354435710889,0.915249057881297,1.2,0
0.0307698690332648,0.952104847862759,1.2,0
0.0238135989742588,1.01792887296716,1.2,0
0.0333661597500759,1.10361958608173,1.2,0
0.025031333432712,1.1619215560292,1.2,0
0.0103030849946602,1.24514954544016,1.2,0
0.00344851355652304,1.33138974350572,1.2,0
0.000856655428853167,1.38085097059268,1.2,0
-0.00173520269881671,1.43031219767964,1.2,0
-0.00432706082648658,1.4797734247666,1.2,0
0.00624061302239589,1.54795796107523,1.2,0
0.0179639654092608,1.59408832783018,1.2,0
0.0296873177961257,1.64021869458514,1.2,0
0.0414106701829906,1.6863490613401,1.2,0
0.0435808659908478,1.74825347883342,1.2,0
0.0421434852109063,1.79596239783792,1.2,0
0.0407061044309648,1.84367131684242,1.2,0
0.0392687236510233,1.89138023584691,1.2,0
0.0378313428710818,1.93908915485141,1.2,0
0.051103137752675,2.01914383103551,1.2,0
0.0661509459096651,2.09367875099867,1.2,0
0.0696327476593654,2.13269647851345,1.2,0
0.0696617070416534,2.21413352719043,1.15,0
0.0662967590173434,2.25753780894942,1.08,0
0.0463399662140079,2.33838374006389,1.01,0
0.0222464984415369,2.39798236718677,0.95,0
0.00720317191832173,2.4349458296965,0.889375,0
-0.000144273186738088,2.4924697965939,0.835,0
-0.00132996286389534,2.53485350741816,0.780625,0
-0.0025156525410526,2.57723721824242,0.72625,0
-0.0151136567533254,2.63109032434025,0.671875,0
-0.0238388021074038,2.72040374783782,0.6175,0
-0.0210848511784482,2.7665572981371,0.563125,0
-0.0204093482783311,2.81130622650841,0.50875,0
-0.0133437885649592,2.89389822082013,0.454375,0
-0.00671093222912643,2.94149942428474,0.4,0
0,2.99778315701677,0.345625,0
0,3.05406688974879,0.29125,0
0,3.11035062248082,0.236875,0
0,3.16663435521285,0.1825,0
0,3.22291808794487,0.128125,0
