x,y,z,yaw
0,-1.5,0.3,0
0,-1.5,0.4,0
0,-1.5,0.5,0
0,-1.5,0.6,0
0,-1.5,0.7,0
0,-1.5,0.8,0
0,-1.5,0.9,0
0,-1.5,1,0
0,-1.5,1.1,0
0,-1.5,1.2,0
0,-0.5,1.2,0
0,0.5,1.2,0
0,1.8,1.2,0
0,1.85789473684211,1.15,0
0,1.91578947368421,1.08,0
0,1.97368421052632,1.01,0
0,2.03157894736842,0.95,0
0,2.08947368421053,0.889375,0
0,2.14736842105263,0.835,0
0,2.20526315789474,0.780625,0
0,2.26315789473684,0.72625,0
0,2.32105263157895,0.671875,0
0,2.37894736842105,0.6175,0
0,2.43684210526316,0.563125,0
0,2.49473684210526,0.50875,0
0,2.55263157894737,0.454375,0
0,2.61052631578947,0.4,0
0,2.66842105263158,0.345625,0
0,2.72631578947369,0.29125,0
0,2.78421052631579,0.236875,0
0,2.8421052631579,0.1825,0
0,2.9,0.128125,0
