x,y,z,yaw
0.0415055753467714,-0.01620099721468,0.3,1.57000005245209
0.0415055753467714,-0.01620099721468,1.29,1.57000005245209
0.0830111506935428,-0.03240199442936,1.29,1.57000005245209
0.124516726040314,-0.04860299164404,1.29,1.57000005245209
0.166022301387086,-0.0648039888587201,1.29,1.57000005245209
0.207527876733857,-0.0810049860734001,1.29,1.57000005245209
0.249033452080628,-0.0972059832880801,1.29,1.57000005245209
0.2905390274274,-0.11340698050276,1.29,1.57000005245209
0.332044602774171,-0.12960797771744,1.29,1.57000005245209
0.373550178120943,-0.14580897493212,1.29,1.57000005245209
0.415055753467714,-0.1620099721468,1.29,1.57000005245209
0.456561328814485,-0.17821096936148,1.29,1.57000005245209
0.498066904161257,-0.19441196657616,1.29,1.57000005245209
0.539572479508028,-0.21061296379084,1.29,1.57000005245209
0.5810780548548,-0.22681396100552,1.29,1.57000005245209
0.622583630201571,-0.2430149582202,1.29,1.57000005245209
0.664089205548342,-0.25921595543488,1.29,1.57000005245209
0.705594780895114,-0.27541695264956,1.29,1.57000005245209
0.747100356241885,-0.29161794986424,1.29,1.57000005245209
0.788605931588656,-0.30781894707892,1.29,1.57000005245209
0.844424030276152,-0.316603696432918,1.29,1.57000005245209
0.878504464638318,-0.316903517286443,1.29,1.57000005245209
0.912584899000484,-0.317203338139968,1.29,1.57000005245209
0.94666533336265,-0.317503158993493,1.29,1.57000005245209
0.972889552225612,-0.323730890968553,1.29,1.57000005245209
0.99038423047209,-0.329881825262846,1.29,1.57000005245209
1.00787890871857,-0.33603275955714,1.29,1.57000005245209
1.06540153118433,-0.350198069797127,1.29,1.57000005245209
1.10994196787743,-0.359798987908326,1.29,1.57000005245209
1.15448240457054,-0.369399906019525,1.29,1.57000005245209
1.19902284126365,-0.379000824130724,1.29,1.57000005245209
1.24356327795675,-0.388601742241923,1.29,1.57000005245209
1.33292311187977,-0.4089020165396,1.29,1.57000005245209
1.37908251039556,-0.419890216832015,1.29,1.57000005245209
1.42524190891134,-0.430878417124429,1.29,1.57000005245209
1.47140130742713,-0.441866617416843,1.29,1.57000005245209
1.51756070594292,-0.452854817709257,1.29,1.57000005245209
1.56372010445871,-0.463843018001671,1.28997268932147,1.57000005245209
1.62909861058424,-0.467546352946577,1.29527656398521,1.57000005245209
1.67909856630168,-0.467588838800623,1.29532778123259,1.57000005245209
1.72909852201912,-0.467631324654669,1.29537899847997,1.57000005245209
1.77909847773656,-0.467673810508715,1.29543021572735,1.57000005245209
1.829098433454,-0.467716296362761,1.29548143297473,1.57000005245209
1.87909838917143,-0.467758782216807,1.2955326502221,1.57000005245209
1.92909834488887,-0.467801268070853,1.29558386746948,1.57000005245209
2.01826908049466,-0.467898283862249,1.29543344721466,1.57000005245209
2.06826867680199,-0.467962015238026,1.29524290216566,1.57000005245209
2.11826827310932,-0.468025746613804,1.29505235711667,1.57000005245209
2.16826786941666,-0.468089477989581,1.29486181206768,1.57000005245209
2.21826746572399,-0.468153209365358,1.29467126701869,1.57000005245209
2.26826706203132,-0.468216940741135,1.29448072196969,1.57000005245209
2.31826665833865,-0.468280672116913,1.2942901769207,1.57000005245209
2.36826625464598,-0.46834440349269,1.29409963187171,1.57000005245209
2.43413163892816,-0.477188560176526,1.30105470407837,1.57000005245209
2.482843860709,-0.486010852790932,1.3080751458166,1.57000005245209
2.53155608248984,-0.494833145405338,1.31509558755483,1.57000005245209
2.58026830427068,-0.503655438019744,1.32211602929306,1.57000005245209
2.62898052605152,-0.51247773063415,1.3291364710313,1.57000005245209
2.67769274783236,-0.521300023248556,1.33615691276953,1.57000005245209
2.72640496961321,-0.530122315862962,1.34317735450776,1.57000005245209
2.77511719139405,-0.538944608477368,1.35019779624599,1.57000005245209
2.82382941317489,-0.547766901091774,1.35721823798422,1.57000005245209
2.87254163495573,-0.55658919370618,1.36423867972245,1.57000005245209
2.92125385673657,-0.565411486320586,1.37125912146068,1.57000005245209
2.96996607851741,-0.574233778934992,1.37827956319891,1.57000005245209
3.01867830029826,-0.583056071549398,1.38530000493714,1.57000005245209
3.09670047647847,-0.614757566867653,1.39327288307166,1.57000005245209
3.13969404513087,-0.640115015164693,1.39619741216091,1.57000005245209
3.18268761378328,-0.665472463461734,1.39912194125016,1.57000005245209
3.22568118243568,-0.690829911758775,1.40204647033942,1.57000005245209
3.26867475108808,-0.716187360055815,1.40497099942867,1.57000005245209
3.31166831974049,-0.741544808352856,1.40789552851792,1.57000005245209
3.3520578826742,-0.774899074679477,1.42810464223612,1.57000005245209
3.38678652382964,-0.804914550210041,1.4479286860257,1.57000005245209
3.42151516498508,-0.834930025740605,1.46775272981528,1.57000005245209
3.45624380614051,-0.864945501271169,1.48757677360485,1.57000005245209
3.49097244729595,-0.894960976801733,1.50740081739443,1.57000005245209
3.52570108845138,-0.924976452332297,1.527224861184,1.57000005245209
3.59255196760771,-0.989716480418499,1.55534532512089,1.57000005245209
3.62609023928327,-1.02566489093973,1.56445005543065,1.57000005245209
3.67426052791041,-1.07859114814839,1.57786113766654,1.57000005245209
3.7071283847024,-1.11511530488792,1.58711802506824,1.57000005245209
3.73999624149439,-1.15163946162745,1.59637491246993,1.57000005245209
3.77286409828638,-1.18816361836698,1.60563179987162,1.57000005245209
3.80573195507837,-1.22468777510651,1.61488868727331,1.57000005245209
3.83859981187035,-1.26121193184604,1.62414557467501,1.57000005245209
3.89644055692918,-1.3342434028692,1.6270228621574,1.57000005245209
3.93570830579396,-1.40396881505692,1.62762010336715,1.57000005245209
3.95743032943791,-1.44883773180947,1.63148455653214,1.57000005245209
3.97915235308186,-1.49370664856202,1.63534900969713,1.57000005245209
4.00087437672581,-1.53857556531457,1.63921346286212,1.57000005245209
4.02259640036976,-1.58344448206712,1.64307791602712,1.57000005245209
4.06026322679285,-1.63852596859026,1.65674121762208,1.57000005245209
4.08985565062729,-1.67692900454564,1.66896804390745,1.57000005245209
4.11944807446173,-1.71533204050102,1.68119487019281,1.57000005245209
4.14904049829617,-1.75373507645641,1.69342169647817,1.57000005245209
4.17863292213061,-1.79213811241179,1.70564852276354,1.57000005245209
4.20822534596505,-1.83054114836718,1.7178753490489,1.57000005245209
4.27085964000651,-1.85566180162665,1.72205002526765,1.57000005245209
4.32021588506998,-1.86355110556603,1.72073855411399,1.57000005245209
4.36957213013344,-1.87144040950542,1.71942708296034,1.57000005245209
4.41892837519691,-1.87932971344481,1.71811561180668,1.57000005245209
4.46828462026038,-1.8872190173842,1.71680414065303,1.57000005245209
4.51764086532385,-1.89510832132359,1.71549266949937,1.57000005245209
4.56699711038731,-1.90299762526297,1.71418119834571,1.57000005245209
4.61635335545078,-1.91088692920236,1.71286972719206,1.57000005245209
4.66570960051425,-1.91877623314175,1.7115582560384,1.57000005245209
4.73616782626415,-1.94228659852658,1.69986508964337,1.57000005245209
4.78091590551386,-1.96168734901252,1.68885508128533,1.57000005245209
4.82566398476358,-1.98108809949846,1.6778450729273,1.57000005245209
4.90853255334856,-1.99311722744962,1.66889115019431,1.57000005245209
4.95847479481041,-1.99087098386206,1.66803856148286,1.57000005245209
5.00841703627227,-1.9886247402745,1.66718597277142,1.57000005245209
5.05835927773413,-1.98637849668694,1.66633338405998,1.57000005245209
5.10830151919599,-1.98413225309938,1.66548079534854,1.57000005245209
