x,y,z,qx,qy,qz,qw
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05828461917108358,2.420539746248362,0.0,0.0,0.0,0.0,1.0
0.45909546812012875,4.788361935925531,0.30851013182254394,0.0,0.0,0.0,1.0
0.5460148095949202,6.529306654822197,1.9889762200919252,0.0,0.0,0.0,1.0
0.165,6.852392,0.0,0.0,0.0,0.0,1.0
